 ,Soil,Month,State,Rice,Wheat,Cotton,Sugarcane,Tea,Ragi,Maize,Millet,Barley,Target
140,1,10,9,0,1,0,0,0,0,0,0,0,2
141,1,10,12,0,1,0,0,0,0,0,0,0,2
142,1,10,19,0,1,0,0,0,0,0,0,0,2
143,1,10,14,0,1,0,0,0,0,0,0,0,2
144,1,10,15,0,1,0,0,0,0,0,0,0,2
145,1,10,17,0,1,0,0,0,0,0,0,0,2
146,1,10,18,0,1,0,0,0,0,0,0,0,2
147,1,11,3,0,1,0,0,0,0,0,0,0,2
148,1,11,4,0,1,0,0,0,0,0,0,0,2
149,1,11,5,0,1,0,0,0,0,0,0,0,2
150,1,11,6,0,1,0,0,0,0,0,0,0,2
151,1,11,9,0,1,0,0,0,0,0,0,0,2
152,1,11,12,0,1,0,0,0,0,0,0,0,2
153,1,11,19,0,1,0,0,0,0,0,0,0,2
154,1,11,14,0,1,0,0,0,0,0,0,0,2
155,1,11,15,0,1,0,0,0,0,0,0,0,2
156,1,11,17,0,1,0,0,0,0,0,0,0,2
157,1,11,18,0,1,0,0,0,0,0,0,0,2
158,1,12,1,1,0,0,0,0,0,0,0,0,1
159,1,12,2,1,0,0,0,0,0,0,0,0,1
160,1,12,3,1,1,0,0,0,0,0,0,0,12
161,1,12,4,1,1,0,0,0,0,0,0,0,12
162,1,12,5,1,1,0,0,0,0,0,0,0,12
163,1,12,6,1,1,0,0,0,0,0,0,0,12
164,1,12,7,1,0,0,0,0,0,0,0,0,1
165,1,12,8,1,0,0,0,0,0,0,0,0,1
166,1,12,9,1,1,0,0,0,0,0,0,0,12
167,1,12,10,1,0,0,0,0,0,0,0,0,1
168,1,12,11,1,0,0,0,0,0,0,0,0,1
169,1,12,12,1,1,0,0,0,0,0,0,0,12
170,1,12,19,0,1,0,0,0,0,0,0,0,2
171,1,12,13,1,0,0,0,0,0,0,0,0,1
172,1,12,14,1,1,0,0,0,0,0,0,0,12
173,1,12,15,1,1,0,0,0,0,0,0,0,12
174,1,12,16,1,0,0,0,0,0,0,0,0,1
175,1,12,17,1,1,0,0,0,0,0,0,0,12
176,1,12,18,1,1,0,0,0,0,0,0,0,12
177,2,1,1,1,0,0,0,0,0,0,1,0,18
178,2,1,2,1,0,0,0,0,0,0,0,0,1
179,2,1,3,1,0,0,0,0,0,0,0,0,1
180,2,1,4,1,0,0,0,0,0,0,1,0,18
181,2,1,5,1,0,0,0,0,0,0,1,0,18
182,2,1,6,1,0,0,0,0,0,0,0,0,1
183,2,1,7,1,0,0,0,0,0,0,1,0,18
184,2,1,8,1,0,0,0,0,0,0,0,0,1
185,2,1,9,1,0,0,0,0,0,0,1,0,18
186,2,1,10,1,0,0,0,0,0,0,1,0,18
187,2,1,11,1,0,0,0,0,0,0,0,0,1
188,2,1,12,1,0,0,0,0,0,0,0,0,1
189,2,1,19,0,0,0,0,0,0,0,1,0,8
190,2,1,13,1,0,0,0,0,0,0,1,0,18
191,2,1,14,1,0,0,0,0,0,0,1,0,18
192,2,1,15,1,0,0,0,0,0,0,0,0,1
193,2,1,16,1,0,0,0,0,0,0,0,0,1
194,2,1,17,1,0,0,0,0,0,0,0,0,1
195,2,1,18,1,0,0,0,0,0,0,0,0,1
196,2,2,1,0,0,0,1,0,0,0,1,0,48
197,2,2,4,0,0,0,0,0,0,0,1,0,8
198,2,2,5,0,0,0,0,0,0,0,1,0,8
